record_id,equipment_id,equipment_type,operating_hours,engine_temperature_C,vibration_level,oil_pressure_bar,fuel_rate_L_per_hr,load_tons,ambient_temperature_C,failure
1,EQ0103,Drill,5833,94.45,0.413,2.83,35.12,136.6,28.91,0
2,EQ0180,Drill,3340,92.89,0.431,3.97,29.01,116.5,37.91,0
3,EQ0093,Loader,9654,92.58,0.606,2.98,42.33,118.4,31.69,0
4,EQ0015,Crusher,4993,99.25,0.644,3.17,39.55,68.8,18.41,0
5,EQ0107,Haul Truck,9576,87.51,0.485,2.53,48.02,119.0,22.51,1
6,EQ0072,Loader,986,86.39,0.488,4.08,36.36,139.0,22.05,0
7,EQ0189,Loader,5954,86.01,0.57,2.73,37.92,64.7,36.64,0
8,EQ0021,Loader,5418,111.37,0.585,2.89,38.8,103.9,35.54,0
9,EQ0103,Drill,2358,99.24,0.676,3.66,40.71,72.9,24.25,1
10,EQ0122,Excavator,4482,97.44,0.307,2.91,36.86,107.4,24.12,0
11,EQ0075,Haul Truck,1885,86.54,0.503,3.02,35.56,93.0,28.27,0
12,EQ0088,Crusher,7827,99.99,0.34,2.86,25.2,131.4,28.45,0
13,EQ0117,Crusher,395,94.07,0.492,2.86,35.48,125.1,22.23,0
14,EQ0100,Excavator,2697,96.71,0.466,3.19,45.72,158.7,26.51,0
15,EQ0104,Loader,780,87.19,0.493,3.28,46.8,118.4,19.28,1
16,EQ0152,Haul Truck,4990,96.28,0.38,2.68,36.23,130.2,35.63,0
17,EQ0131,Crusher,4398,91.61,0.277,2.62,50.4,103.3,17.44,0
18,EQ0150,Crusher,424,88.88,0.186,2.7,39.77,86.9,17.37,0
19,EQ0053,Loader,8052,100.87,0.48,2.3,29.3,145.0,30.61,1
20,EQ0002,Excavator,1086,82.7,0.435,2.2,26.78,157.3,20.58,0
21,EQ0088,Haul Truck,3218,99.52,0.399,3.15,49.75,141.2,24.99,0
22,EQ0158,Excavator,860,100.48,0.698,3.47,37.02,123.9,28.38,0
23,EQ0038,Excavator,7858,87.96,0.371,3.44,30.29,90.8,32.05,0
24,EQ0130,Haul Truck,9328,88.44,0.713,1.81,21.93,154.2,26.67,1
25,EQ0192,Haul Truck,1006,93.22,0.744,2.88,36.83,137.4,38.68,0
26,EQ0188,Crusher,5599,97.26,0.207,2.45,43.24,180.7,28.0,1
27,EQ0021,Crusher,464,93.78,0.514,3.07,34.42,85.4,35.14,0
28,EQ0161,Haul Truck,7869,98.47,0.44,2.79,31.57,145.9,29.67,0
29,EQ0058,Drill,3513,109.1,0.063,3.3,35.6,136.5,40.79,0
30,EQ0022,Crusher,8127,90.94,0.283,2.99,49.95,109.7,34.35,1
31,EQ0089,Drill,8039,81.28,0.616,2.05,28.86,160.9,28.26,0
32,EQ0049,Haul Truck,9361,101.61,0.803,2.52,34.87,132.1,31.77,1
33,EQ0059,Crusher,3181,108.47,0.635,3.0,49.69,91.9,26.44,0
34,EQ0170,Excavator,5548,98.14,0.549,3.05,43.95,116.4,26.37,0
35,EQ0188,Haul Truck,3358,86.3,0.497,2.3,41.43,91.5,20.18,1
36,EQ0015,Loader,2207,94.01,0.752,2.23,34.81,105.9,23.15,0
37,EQ0190,Drill,8028,86.05,0.822,3.03,40.24,141.1,40.37,0
38,EQ0190,Haul Truck,3033,100.14,0.412,2.3,35.7,149.7,20.78,0
39,EQ0175,Haul Truck,2929,84.19,0.2,2.17,33.12,126.6,24.07,1
40,EQ0190,Crusher,8733,92.6,0.185,2.78,31.36,97.5,27.44,0
41,EQ0051,Crusher,5106,86.97,0.698,2.76,46.27,131.4,27.64,0
